學年度,設立別,學校類別,學校統計處代碼,學校名稱,系所代碼,系所名稱,學制班別(日間),外國學生人數男,外國學生人數女
106,公立,一般大學,2,國立清華大學,5121026,生物科技研究所,碩士班(日間),1,2
106,公立,一般大學,2,國立清華大學,5121026,生物科技研究所,博士班,1,2
106,公立,一般大學,2,國立清華大學,5121028,分子與細胞生物研究所,碩士班(日間),0,1
106,公立,一般大學,2,國立清華大學,5121028,分子與細胞生物研究所,博士班,4,3
106,公立,一般大學,2,國立清華大學,5121030,生物資訊與結構生物研究所,碩士班(日間),1,0
106,公立,一般大學,2,國立清華大學,5121030,生物資訊與結構生物研究所,博士班,9,3
106,公立,一般大學,2,國立清華大學,5124072,分子醫學研究所,碩士班(日間),0,2
106,公立,一般大學,2,國立清華大學,5124072,分子醫學研究所,博士班,1,1
106,公立,一般大學,2,國立清華大學,5211102,環境與文化資源學系,學士班(日間),0,1
106,公立,一般大學,2,國立清華大學,5311037,化學系,碩士班(日間),2,2
106,公立,一般大學,2,國立清華大學,5311037,化學系,博士班,62,11
106,公立,一般大學,2,國立清華大學,5331038,物理學系,學士班(日間),2,0
106,公立,一般大學,2,國立清華大學,5331038,物理學系,碩士班(日間),1,0
106,公立,一般大學,2,國立清華大學,5331038,物理學系,博士班,5,2
106,公立,一般大學,2,國立清華大學,5332039,天文研究所,碩士班(日間),1,1
106,公立,一般大學,2,國立清華大學,5332039,天文研究所,博士班,1,0
106,公立,一般大學,2,國立清華大學,5411043,數學系,碩士班(日間),2,0
106,公立,一般大學,2,國立清華大學,6131053,資訊工程學系,學士班(日間),7,1
106,公立,一般大學,2,國立清華大學,6131053,資訊工程學系,碩士班(日間),5,1
106,公立,一般大學,2,國立清華大學,6131053,資訊工程學系,博士班,4,0
106,公立,一般大學,2,國立清華大學,6134046,資訊系統與應用研究所,碩士班(日間),12,11
106,公立,一般大學,2,國立清華大學,6134046,資訊系統與應用研究所,博士班,4,1
106,公立,一般大學,2,國立清華大學,6134048,社群網路與人智計算國際研究生博士學位學程,博士班,11,1
106,公立,一般大學,2,國立清華大學,7111057,化學工程學系,學士班(日間),3,1
106,公立,一般大學,2,國立清華大學,7111057,化學工程學系,碩士班(日間),4,2
106,公立,一般大學,2,國立清華大學,7111057,化學工程學系,博士班,11,3
106,公立,一般大學,2,國立清華大學,7112058,材料科學工程學系,學士班(日間),0,1
106,公立,一般大學,2,國立清華大學,7112058,材料科學工程學系,碩士班(日間),7,1
106,公立,一般大學,2,國立清華大學,7112058,材料科學工程學系,博士班,14,4
106,公立,一般大學,2,國立清華大學,7131068,核子工程與科學研究所,博士班,1,0
106,公立,一般大學,2,國立清華大學,7132066,工程與系統科學系,碩士班(日間),3,0
106,公立,一般大學,2,國立清華大學,7132066,工程與系統科學系,博士班,32,10
106,公立,一般大學,2,國立清華大學,7141049,電機工程學系,學士班(日間),2,0
106,公立,一般大學,2,國立清華大學,7141049,電機工程學系,碩士班(日間),1,0
106,公立,一般大學,2,國立清華大學,7141049,電機工程學系,博士班,7,0
106,公立,一般大學,2,國立清華大學,7141050,電子工程研究所,博士班,3,1
106,公立,一般大學,2,國立清華大學,7141052,光電工程研究所,博士班,3,0
106,公立,一般大學,2,國立清華大學,7141054,通訊工程研究所,碩士班(日間),3,1
106,公立,一般大學,2,國立清華大學,7141054,通訊工程研究所,博士班,4,1
106,公立,一般大學,2,國立清華大學,7141055,電機資訊學院學士班,學士班(日間),1,0
106,公立,一般大學,2,國立清華大學,7151056,動力機械工程學系,碩士班(日間),1,0
106,公立,一般大學,2,國立清華大學,7151056,動力機械工程學系,博士班,7,0
106,公立,一般大學,2,國立清華大學,7191061,工業工程與工程管理學系,學士班(日間),5,5
106,公立,一般大學,2,國立清華大學,7191061,工業工程與工程管理學系,碩士班(日間),3,2
106,公立,一般大學,2,國立清華大學,7191061,工業工程與工程管理學系,博士班,3,3
106,公立,一般大學,2,國立清華大學,7193063,生醫工程與環境科學系,學士班(日間),2,0
106,公立,一般大學,2,國立清華大學,7193063,生醫工程與環境科學系,碩士班(日間),0,1
106,公立,一般大學,2,國立清華大學,7193063,生醫工程與環境科學系,博士班,5,2
106,公立,一般大學,2,國立清華大學,7194059,奈米工程與微系統研究所,碩士班(日間),3,3
106,公立,一般大學,2,國立清華大學,7194059,奈米工程與微系統研究所,博士班,10,7
106,公立,一般大學,2,國立清華大學,7199071,工學院學士班,學士班(日間),0,1
106,公立,一般大學,2,國立清華大學,99999074,跨院國際博士班學位學程,博士班,7,1
106,公立,一般大學,3,國立臺灣大學,1131001,華語教學碩士學位學程,碩士班(日間),5,8
106,公立,一般大學,3,國立臺灣大學,2151002,音樂學研究所,碩士班(日間),1,1
106,公立,一般大學,3,國立臺灣大學,2151002,音樂學研究所,博士班,0,1
106,公立,一般大學,3,國立臺灣大學,2191004,藝術史研究所,碩士班(日間),0,1
106,公立,一般大學,3,國立臺灣大學,2191004,藝術史研究所,博士班,0,1
106,公立,一般大學,3,國立臺灣大學,2221012,歷史學系,學士班(日間),2,1
106,公立,一般大學,3,國立臺灣大學,2221012,歷史學系,碩士班(日間),3,2
106,公立,一般大學,3,國立臺灣大學,2221012,歷史學系,博士班,4,1
106,公立,一般大學,3,國立臺灣大學,2222013,人類學系,學士班(日間),3,5
106,公立,一般大學,3,國立臺灣大學,2222013,人類學系,碩士班(日間),3,1
106,公立,一般大學,3,國立臺灣大學,2222013,人類學系,博士班,4,0
106,公立,一般大學,3,國立臺灣大學,2231014,哲學系,學士班(日間),3,1
106,公立,一般大學,3,國立臺灣大學,2231014,哲學系,碩士班(日間),4,0
106,公立,一般大學,3,國立臺灣大學,2231014,哲學系,博士班,0,1
106,公立,一般大學,3,國立臺灣大學,2311007,外國語文學系,學士班(日間),1,20
106,公立,一般大學,3,國立臺灣大學,2311009,日本語文學系,碩士班(日間),1,1
106,公立,一般大學,3,國立臺灣大學,2312010,翻譯碩士學位學程,碩士班(日間),4,0
106,公立,一般大學,3,國立臺灣大學,2321005,臺灣文學研究所,碩士班(日間),1,0
106,公立,一般大學,3,國立臺灣大學,2322006,中國文學系,學士班(日間),21,45
106,公立,一般大學,3,國立臺灣大學,2322006,中國文學系,碩士班(日間),4,17
106,公立,一般大學,3,國立臺灣大學,2322006,中國文學系,博士班,3,4
106,公立,一般大學,3,國立臺灣大學,2399011,語言學研究所,碩士班(日間),2,1
106,公立,一般大學,3,國立臺灣大學,2399011,語言學研究所,博士班,2,1
106,公立,一般大學,3,國立臺灣大學,3111015,經濟學系,學士班(日間),3,6
106,公立,一般大學,3,國立臺灣大學,3121016,政治學系,學士班(日間),12,11
106,公立,一般大學,3,國立臺灣大學,3121016,政治學系,碩士班(日間),5,1
106,公立,一般大學,3,國立臺灣大學,3121016,政治學系,博士班,6,0
106,公立,一般大學,3,國立臺灣大學,3131019,心理學系,學士班(日間),1,6
106,公立,一般大學,3,國立臺灣大學,3131019,心理學系,碩士班(日間),1,1
106,公立,一般大學,3,國立臺灣大學,3141018,社會學系,學士班(日間),4,2
106,公立,一般大學,3,國立臺灣大學,3141018,社會學系,碩士班(日間),1,1
106,公立,一般大學,3,國立臺灣大學,3142021,地理環境資源學系,學士班(日間),4,2
106,公立,一般大學,3,國立臺灣大學,3142021,地理環境資源學系,碩士班(日間),1,0
106,公立,一般大學,3,國立臺灣大學,3191023,國家發展研究所,碩士班(日間),5,9
106,公立,一般大學,3,國立臺灣大學,3191023,國家發展研究所,博士班,8,3
106,公立,一般大學,3,國立臺灣大學,3212024,新聞研究所,碩士班(日間),0,3
106,公立,一般大學,3,國立臺灣大學,4111027,會計學系,學士班(日間),4,7
106,公立,一般大學,3,國立臺灣大學,4121032,財務金融學系,學士班(日間),8,10
106,公立,一般大學,3,國立臺灣大學,4121032,財務金融學系,碩士班(日間),2,3
106,公立,一般大學,3,國立臺灣大學,4131026,商學研究所,碩士班(日間),4,1
106,公立,一般大學,3,國立臺灣大學,4131026,商學研究所,博士班,1,0
106,公立,一般大學,3,國立臺灣大學,4131028,管理學院企業管理碩士專班,碩士班(日間),33,25
106,公立,一般大學,3,國立臺灣大學,4131029,工商管理學系,學士班(日間),1,8
106,公立,一般大學,3,國立臺灣大學,4131031,國際企業學系,碩士班(日間),4,5
106,公立,一般大學,3,國立臺灣大學,4131031,國際企業學系,博士班,0,1
106,公立,一般大學,3,國立臺灣大學,4211035,法律學系,學士班(日間),5,6
106,公立,一般大學,3,國立臺灣大學,4211035,法律學系,碩士班(日間),7,6
106,公立,一般大學,3,國立臺灣大學,4211035,法律學系,博士班,2,2
106,公立,一般大學,3,國立臺灣大學,5111038,生命科學系,學士班(日間),5,2
106,公立,一般大學,3,國立臺灣大學,5111038,生命科學系,碩士班(日間),1,1
106,公立,一般大學,3,國立臺灣大學,5111040,植物科學研究所,碩士班(日間),1,1
106,公立,一般大學,3,國立臺灣大學,5111040,植物科學研究所,博士班,1,0
106,公立,一般大學,3,國立臺灣大學,5111041,昆蟲學系,碩士班(日間),1,1
106,公立,一般大學,3,國立臺灣大學,5121044,生物科技研究所,碩士班(日間),1,1
106,公立,一般大學,3,國立臺灣大學,5121044,生物科技研究所,博士班,3,1
106,公立,一般大學,3,國立臺灣大學,5121045,生化科學研究所,碩士班(日間),2,1
106,公立,一般大學,3,國立臺灣大學,5121045,生化科學研究所,博士班,6,2
106,公立,一般大學,3,國立臺灣大學,5121047,基因體與系統生物學學位學程,碩士班(日間),1,1
106,公立,一般大學,3,國立臺灣大學,5121151,生化科技學系,學士班(日間),3,2
106,公立,一般大學,3,國立臺灣大學,5124155,生物資訊學國際研究生博士學位學程,博士班,1,0
106,公立,一般大學,3,國立臺灣大學,5212043,生態學與演化生物學研究所,碩士班(日間),1,1
106,公立,一般大學,3,國立臺灣大學,5212043,生態學與演化生物學研究所,博士班,2,0
106,公立,一般大學,3,國立臺灣大學,5311051,化學系,學士班(日間),0,2
106,公立,一般大學,3,國立臺灣大學,5311051,化學系,博士班,11,7
106,公立,一般大學,3,國立臺灣大學,5321052,地質科學系,學士班(日間),1,1
106,公立,一般大學,3,國立臺灣大學,5321052,地質科學系,碩士班(日間),3,0
106,公立,一般大學,3,國立臺灣大學,5321052,地質科學系,博士班,4,1
106,公立,一般大學,3,國立臺灣大學,5321053,氣候變遷與永續發展國際碩士學位學程,碩士班(日間),0,1
106,公立,一般大學,3,國立臺灣大學,5322056,大氣科學系,博士班,1,0
106,公立,一般大學,3,國立臺灣大學,5323057,海洋研究所,碩士班(日間),1,0
106,公立,一般大學,3,國立臺灣大學,5323057,海洋研究所,博士班,2,1
106,公立,一般大學,3,國立臺灣大學,5331054,物理學系,學士班(日間),1,0
106,公立,一般大學,3,國立臺灣大學,5331054,物理學系,碩士班(日間),2,0
106,公立,一般大學,3,國立臺灣大學,5331054,物理學系,博士班,13,3
106,公立,一般大學,3,國立臺灣大學,5332058,天文物理研究所,碩士班(日間),1,0
106,公立,一般大學,3,國立臺灣大學,5411059,數學系,學士班(日間),3,2
106,公立,一般大學,3,國立臺灣大學,5411059,數學系,博士班,1,0
106,公立,一般大學,3,國立臺灣大學,5499061,應用數學科學研究所,碩士班(日間),1,0
106,公立,一般大學,3,國立臺灣大學,6131062,資訊管理學系,學士班(日間),2,1
106,公立,一般大學,3,國立臺灣大學,6131063,資訊網路與多媒體研究所,博士班,2,0
106,公立,一般大學,3,國立臺灣大學,6131067,資訊工程學系,學士班(日間),9,7
106,公立,一般大學,3,國立臺灣大學,6131067,資訊工程學系,碩士班(日間),8,1
106,公立,一般大學,3,國立臺灣大學,6131067,資訊工程學系,博士班,4,0
106,公立,一般大學,3,國立臺灣大學,7111076,化學工程學系,學士班(日間),9,5
106,公立,一般大學,3,國立臺灣大學,7111076,化學工程學系,碩士班(日間),4,2
106,公立,一般大學,3,國立臺灣大學,7111076,化學工程學系,博士班,9,0
106,公立,一般大學,3,國立臺灣大學,7112078,材料科學與工程學系,碩士班(日間),1,0
106,公立,一般大學,3,國立臺灣大學,7121080,環境工程學研究所,碩士班(日間),0,1
106,公立,一般大學,3,國立臺灣大學,7121080,環境工程學研究所,博士班,2,2
106,公立,一般大學,3,國立臺灣大學,7141064,電機工程學系,學士班(日間),5,1
106,公立,一般大學,3,國立臺灣大學,7141064,電機工程學系,碩士班(日間),4,0
106,公立,一般大學,3,國立臺灣大學,7141064,電機工程學系,博士班,4,1
106,公立,一般大學,3,國立臺灣大學,7141065,電子工程學研究所,碩士班(日間),3,0
106,公立,一般大學,3,國立臺灣大學,7141066,光電工程學研究所,碩士班(日間),2,0
106,公立,一般大學,3,國立臺灣大學,7141066,光電工程學研究所,博士班,2,0
106,公立,一般大學,3,國立臺灣大學,7141068,電信工程學研究所,碩士班(日間),3,0
106,公立,一般大學,3,國立臺灣大學,7141068,電信工程學研究所,博士班,3,0
106,公立,一般大學,3,國立臺灣大學,7151069,機械工程學系,學士班(日間),23,5
106,公立,一般大學,3,國立臺灣大學,7151069,機械工程學系,碩士班(日間),3,1
106,公立,一般大學,3,國立臺灣大學,7151069,機械工程學系,博士班,3,1
106,公立,一般大學,3,國立臺灣大學,7151072,生物產業機電工程學系,學士班(日間),1,1
106,公立,一般大學,3,國立臺灣大學,7151072,生物產業機電工程學系,碩士班(日間),1,1
106,公立,一般大學,3,國立臺灣大學,7151072,生物產業機電工程學系,博士班,2,1
106,公立,一般大學,3,國立臺灣大學,7151082,工程科學及海洋工程學系,學士班(日間),3,1
106,公立,一般大學,3,國立臺灣大學,7151082,工程科學及海洋工程學系,博士班,2,1
106,公立,一般大學,3,國立臺灣大學,7191079,工業工程學研究所,碩士班(日間),3,0
106,公立,一般大學,3,國立臺灣大學,7191079,工業工程學研究所,博士班,4,0
106,公立,一般大學,3,國立臺灣大學,7193081,生醫電子與資訊學研究所,碩士班(日間),1,0
106,公立,一般大學,3,國立臺灣大學,7194071,應用力學研究所,碩士班(日間),1,1
106,公立,一般大學,3,國立臺灣大學,7194071,應用力學研究所,博士班,1,1
106,公立,一般大學,3,國立臺灣大學,7194083,醫學工程學研究所,碩士班(日間),1,2
106,公立,一般大學,3,國立臺灣大學,7194083,醫學工程學研究所,博士班,2,1
106,公立,一般大學,3,國立臺灣大學,7211099,食品科技研究所,碩士班(日間),1,1
106,公立,一般大學,3,國立臺灣大學,7313086,建築與城鄉研究所,碩士班(日間),0,2
106,公立,一般大學,3,國立臺灣大學,7313086,建築與城鄉研究所,博士班,1,1
106,公立,一般大學,3,國立臺灣大學,7321074,土木工程學系,學士班(日間),16,3
106,公立,一般大學,3,國立臺灣大學,7321074,土木工程學系,碩士班(日間),16,1
106,公立,一般大學,3,國立臺灣大學,7321074,土木工程學系,博士班,7,3
106,公立,一般大學,3,國立臺灣大學,7321075,生物環境系統工程學系,學士班(日間),2,2
106,公立,一般大學,3,國立臺灣大學,7321075,生物環境系統工程學系,碩士班(日間),1,0
106,公立,一般大學,3,國立臺灣大學,7321075,生物環境系統工程學系,博士班,5,1
106,公立,一般大學,3,國立臺灣大學,8111087,農藝學系,學士班(日間),9,4
106,公立,一般大學,3,國立臺灣大學,8112089,動物科學技術學系,學士班(日間),0,1
106,公立,一般大學,3,國立臺灣大學,8121091,園藝暨景觀學系,學士班(日間),5,5
106,公立,一般大學,3,國立臺灣大學,8121091,園藝暨景觀學系,博士班,1,0
106,公立,一般大學,3,國立臺灣大學,8191100,農業化學系,學士班(日間),0,1
106,公立,一般大學,3,國立臺灣大學,8191100,農業化學系,碩士班(日間),1,0
106,公立,一般大學,3,國立臺灣大學,8193096,農業經濟學系,學士班(日間),8,4
106,公立,一般大學,3,國立臺灣大學,8193096,農業經濟學系,碩士班(日間),15,2
106,公立,一般大學,3,國立臺灣大學,8193098,生物產業傳播暨發展學系,碩士班(日間),0,1
106,公立,一般大學,3,國立臺灣大學,8194094,植物病理與微生物學系,碩士班(日間),2,2
106,公立,一般大學,3,國立臺灣大學,8194094,植物病理與微生物學系,博士班,1,0
106,公立,一般大學,3,國立臺灣大學,8211102,森林環境暨資源學系,學士班(日間),1,1
106,公立,一般大學,3,國立臺灣大學,8211102,森林環境暨資源學系,碩士班(日間),1,1
106,公立,一般大學,3,國立臺灣大學,8311103,漁業科學研究所,碩士班(日間),1,0
106,公立,一般大學,3,國立臺灣大學,8411104,獸醫學系,學士班(日間),2,11
106,公立,一般大學,3,國立臺灣大學,8411104,獸醫學系,博士班,1,0
106,公立,一般大學,3,國立臺灣大學,9111138,臨床牙醫學研究所,碩士班(日間),1,0
106,公立,一般大學,3,國立臺灣大學,9111138,臨床牙醫學研究所,博士班,0,1
106,公立,一般大學,3,國立臺灣大學,9121112,病理學研究所,碩士班(日間),0,1
106,公立,一般大學,3,國立臺灣大學,9121114,解剖學暨細胞生物學研究所,博士班,0,1
106,公立,一般大學,3,國立臺灣大學,9151132,物理治療學系,學士班(日間),1,3
106,公立,一般大學,3,國立臺灣大學,9161129,藥學系,博士班,0,1
106,公立,一般大學,3,國立臺灣大學,9161130,藥理學研究所,碩士班(日間),0,2
106,公立,一般大學,3,國立臺灣大學,9191122,公共衛生碩士學位學程,碩士班(日間),2,1
106,公立,一般大學,3,國立臺灣大學,9191123,職業醫學與工業衛生研究所,碩士班(日間),0,1
106,公立,一般大學,3,國立臺灣大學,9191123,職業醫學與工業衛生研究所,博士班,4,1
106,公立,一般大學,3,國立臺灣大學,9191126,流行病學與預防醫學研究所,博士班,4,0
106,公立,一般大學,3,國立臺灣大學,9191127,健康政策與管理研究所,博士班,2,1
106,公立,一般大學,3,國立臺灣大學,9231144,社會工作學系,學士班(日間),1,3
