學校代碼,學校名稱,日間∕進修別,教師學歷,一般教師(含客座及講座)-教授-男,一般教師(含客座及講座)-教授-女,一般教師(含客座及講座)-副教授-男,一般教師(含客座及講座)-副教授-女,一般教師(含客座及講座)-助理教授-男,一般教師(含客座及講座)-助理教授-女,一般教師(含客座及講座)-講師-男,一般教師(含客座及講座)-講師-女,專業技術人員及教師-教授-男,專業技術人員及教師-教授-女,專業技術人員及教師-副教授-男,專業技術人員及教師-副教授-女,專業技術人員及教師-助理教授-男,專業技術人員及教師-助理教授-女,專業技術人員及教師-講師-男,專業技術人員及教師-講師-女,專案教學人員-教授-男,專案教學人員-教授-女,專案教學人員-副教授-男,專案教學人員-副教授-女,專案教學人員-助理教授-男,專案教學人員-助理教授-女,專案教學人員-講師-男,專案教學人員-講師-女,其他教師-教官-男,其他教師-教官-女,其他教師-護理教師-男,其他教師-護理教師-女,其他教師-護理臨床指導教師-男,其他教師-護理臨床指導教師-女,其他教師-運動教練-男,其他教師-運動教練-女,其他教師-助教-男,其他教師-助教-女,縣市名稱,體系別
0052,國立屏東大學,日,碩士,3,1,5,1,2,2,8,7,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,1,1,0,0,0,0,0,0,0,2,13 屏東縣,1 一般
0052,國立屏東大學,日,學士,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,13 屏東縣,1 一般
0052,國立屏東大學,進,博士,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13 屏東縣,1 一般
0053,國立高雄科技大學,日,博士,247,39,221,74,96,30,0,0,0,0,1,0,0,0,0,0,0,0,1,0,19,9,0,1,0,0,0,0,0,0,0,0,0,0,50 高雄市,2 技職
0053,國立高雄科技大學,日,碩士,2,0,15,3,16,13,14,12,0,0,0,0,3,0,1,0,0,0,0,0,0,1,4,4,5,3,0,0,0,0,0,0,2,2,50 高雄市,2 技職
0053,國立高雄科技大學,日,學士,6,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,0,0,0,5,50 高雄市,2 技職
0053,國立高雄科技大學,進,博士,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50 高雄市,2 技職
0053,國立高雄科技大學,進,碩士,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50 高雄市,2 技職
0144,國立臺灣戲曲學院,日,博士,1,0,2,2,1,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30 臺北市,2 技職
0144,國立臺灣戲曲學院,日,碩士,1,1,2,1,0,3,3,2,0,0,0,2,3,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,30 臺北市,2 技職
0144,國立臺灣戲曲學院,日,學士,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30 臺北市,2 技職
0144,國立臺灣戲曲學院,日,其他,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30 臺北市,2 技職
0221,國立臺南護理專科學校,日,博士,5,2,7,8,7,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21 臺南市,2 技職
0221,國立臺南護理專科學校,日,碩士,0,0,0,2,0,1,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,16,0,0,0,0,21 臺南市,2 技職
0221,國立臺南護理專科學校,日,學士,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,9,0,0,0,0,21 臺南市,2 技職
0222,國立臺東專科學校,日,博士,7,1,7,2,15,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,14 臺東縣,2 技職
0222,國立臺東專科學校,日,碩士,0,0,0,0,4,2,6,8,0,0,1,0,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,14 臺東縣,2 技職
1001,東海大學,日,博士,113,22,108,49,76,64,1,0,1,0,0,0,0,0,0,0,4,1,0,0,8,6,0,1,0,0,0,0,0,0,0,0,0,0,19 臺中市,1 一般
1001,東海大學,日,碩士,4,3,10,5,4,1,15,9,1,0,1,0,1,0,0,0,0,0,0,0,0,0,4,6,10,6,0,0,0,0,0,0,2,3,19 臺中市,1 一般
1001,東海大學,日,學士,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,1,19 臺中市,1 一般
1001,東海大學,日,其他,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19 臺中市,1 一般
1002,輔仁大學,日,博士,89,56,143,109,84,72,0,0,0,0,1,1,0,0,0,0,0,0,3,0,21,30,0,0,0,0,0,0,0,0,0,0,0,0,01 新北市,1 一般
1002,輔仁大學,日,碩士,6,5,13,10,6,3,14,16,1,0,2,1,1,1,2,1,0,0,0,0,0,0,2,3,8,7,0,1,0,0,0,0,0,0,01 新北市,1 一般
1002,輔仁大學,日,學士,4,0,3,1,0,0,4,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,01 新北市,1 一般
1002,輔仁大學,日,專科,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01 新北市,1 一般
1002,輔仁大學,進,博士,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,01 新北市,1 一般
1002,輔仁大學,進,碩士,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01 新北市,1 一般
1003,東吳大學,日,博士,85,36,65,70,44,30,0,0,0,0,0,0,0,0,0,0,6,2,1,1,16,11,0,0,0,0,0,0,0,0,0,0,0,0,30 臺北市,1 一般
1003,東吳大學,日,碩士,4,2,6,6,0,0,15,21,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0,1,4,1,0,0,0,0,0,0,0,1,30 臺北市,1 一般
1003,東吳大學,日,學士,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,30 臺北市,1 一般
1003,東吳大學,日,其他,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30 臺北市,1 一般
1003,東吳大學,進,博士,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30 臺北市,1 一般
1004,中原大學,日,博士,116,19,99,51,89,54,1,0,1,0,1,0,0,0,0,0,4,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,03 桃園市,1 一般
1004,中原大學,日,碩士,2,0,6,5,4,0,9,9,0,0,0,2,3,1,0,0,0,0,0,0,0,0,0,0,11,3,0,0,0,0,0,0,0,0,03 桃園市,1 一般
1004,中原大學,日,學士,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,03 桃園市,1 一般
1004,中原大學,進,博士,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,03 桃園市,1 一般
1005,淡江大學,日,博士,161,45,181,122,62,59,0,0,0,0,0,0,0,0,0,0,4,0,0,0,9,3,0,0,0,0,0,0,0,0,0,0,0,0,01 新北市,1 一般
1005,淡江大學,日,碩士,3,2,9,7,5,1,15,12,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,17,8,0,2,0,0,0,0,0,0,01 新北市,1 一般
