學年度,學期（上學期為1；下學期為2）,設立別,學校類別,學校統計處代碼,學校名稱,系所代碼,系所名稱,學制班別,修讀雙主修人次男,修讀雙主修人次女
106,1,公立,一般大學,5,國立成功大學,4111120,會計學系,學士班(日間),3,3
106,1,公立,一般大學,5,國立成功大學,4131121,企業管理學系,學士班(日間),5,9
106,1,公立,一般大學,5,國立成功大學,4199057,工業與資訊管理學系,學士班(日間),4,1
106,1,公立,一般大學,5,國立成功大學,4211001,法律學系,學士班(日間),5,9
106,1,公立,一般大學,5,國立成功大學,5111003,生命科學系,學士班(日間),4,3
106,1,公立,一般大學,5,國立成功大學,5121008,生物科技與產業科學系,學士班(日間),4,2
106,1,公立,一般大學,5,國立成功大學,5311017,化學系,學士班(日間),0,5
106,1,公立,一般大學,5,國立成功大學,5321019,地球科學系,學士班(日間),17,8
106,1,公立,一般大學,5,國立成功大學,5331021,物理學系,學士班(日間),5,1
106,1,公立,一般大學,5,國立成功大學,5411027,數學系,學士班(日間),10,5
106,1,公立,一般大學,5,國立成功大學,5421029,統計學系,學士班(日間),4,6
106,1,公立,一般大學,5,國立成功大學,6131036,資訊工程學系,學士班(日間),5,1
106,1,公立,一般大學,5,國立成功大學,7111050,化學工程學系,學士班(日間),4,1
106,1,公立,一般大學,5,國立成功大學,7121070,環境工程學系,學士班(日間),6,2
106,1,公立,一般大學,5,國立成功大學,7122026,水利及海洋工程學系,學士班(日間),8,2
106,1,公立,一般大學,5,國立成功大學,7132074,能源國際學士學位學程,學士班(日間),2,0
106,1,公立,一般大學,5,國立成功大學,7141032,電機工程學系,學士班(日間),4,1
106,1,公立,一般大學,5,國立成功大學,7141035,光電科學與工程學系,學士班(日間),2,0
106,1,公立,一般大學,5,國立成功大學,7151042,機械工程學系,學士班(日間),6,4
106,1,公立,一般大學,5,國立成功大學,7162043,航空太空工程學系,學士班(日間),7,2
106,1,公立,一般大學,5,國立成功大學,7163044,系統及船舶機電工程學系,學士班(日間),3,1
106,1,公立,一般大學,5,國立成功大學,7193061,生物醫學工程學系,學士班(日間),4,0
106,1,公立,一般大學,5,國立成功大學,7194071,工程科學系,學士班(日間),1,0
106,1,公立,一般大學,5,國立成功大學,7241064,資源工程學系,學士班(日間),2,1
106,1,公立,一般大學,5,國立成功大學,7311075,建築學系,學士班(日間),1,0
106,1,公立,一般大學,5,國立成功大學,7313076,都市計劃學系,學士班(日間),0,2
106,1,公立,一般大學,5,國立成功大學,7321049,土木工程學系,學士班(日間),5,2
106,1,公立,一般大學,5,國立成功大學,7322067,測量及空間資訊學系,學士班(日間),5,3
106,1,公立,一般大學,5,國立成功大學,9121077,醫學系,學士班(日間),3,1
106,1,公立,一般大學,5,國立成功大學,9131090,護理學系,學士班(日間),0,1
106,1,公立,一般大學,5,國立成功大學,9152089,職能治療學系,學士班(日間),0,2
106,1,公立,一般大學,5,國立成功大學,10411098,交通管理科學系,學士班(日間),6,3
106,1,公立,一般大學,6,國立中興大學,2221007,歷史學系,學士班(日間),20,22
106,1,公立,一般大學,6,國立中興大學,2311006,外國語文學系,學士班(日間),2,12
106,1,公立,一般大學,6,國立中興大學,2322005,中國文學系,學士班(日間),5,23
106,1,公立,一般大學,6,國立中興大學,3111009,應用經濟學系,學士班(日間),4,5
106,1,公立,一般大學,6,國立中興大學,4111015,會計學系,學士班(日間),2,0
106,1,公立,一般大學,6,國立中興大學,4121019,財務金融學系,學士班(日間),1,1
